week,revenue
04.09.2023,65426556.343489766
11.09.2023,69676377.457526
18.09.2023,72769417.4863927
25.09.2023,79661147.5830721
02.10.2023,78358718.49064544
09.10.2023,77704753.25210604
16.10.2023,76786200.46125844
23.10.2023,73816568.1037327
30.10.2023,72678439.81211522
06.11.2023,72978505.52256723
13.11.2023,74194899.9513271
20.11.2023,73307303.32126287
27.11.2023,72076619.29395686
04.12.2023,74327543.93615928
11.12.2023,75675998.57726629
18.12.2023,76719830.06766446
25.12.2023,73952332.68144368
01.01.2024,67828755.84486441
08.01.2024,65108944.52811766
15.01.2024,69641813.43729372
22.01.2024,70007266.0133209
29.01.2024,70358867.87610976
05.02.2024,71651010.12262003
12.02.2024,75514842.80280326
19.02.2024,72631923.74175501
26.02.2024,67701326.28053348
04.03.2024,64041804.95698881
11.03.2024,60714303.28143604
18.03.2024,59558877.393481836
