week,revenue
04.09.2023,65757638.146923915
11.09.2023,76188816.68511838
18.09.2023,72252773.39719583
25.09.2023,79637846.70691791
02.10.2023,77550007.44517422
09.10.2023,75679614.34868716
16.10.2023,74545096.37305652
23.10.2023,74569787.40798473
30.10.2023,71675124.99309523
06.11.2023,72039787.69190028
13.11.2023,71820377.37471905
20.11.2023,72145211.63954324
27.11.2023,72195340.99109957
04.12.2023,73548266.05279984
11.12.2023,75132634.81708537
18.12.2023,75377390.5954414
25.12.2023,74668062.68960889
01.01.2024,66024244.86697927
08.01.2024,63886081.99379656
15.01.2024,68445904.70043376
22.01.2024,73723524.87582749
29.01.2024,70687100.56247531
05.02.2024,73385797.51842684
12.02.2024,74265874.3965931
19.02.2024,73320634.72977231
26.02.2024,68264498.00280903
04.03.2024,62340641.38171839
11.03.2024,60732636.09919021
18.03.2024,61061432.53852416
